__run_id,__done,DFO,Library,DataFrame size,execution_time,num_dfos_per_joule,cpu_utilisation,memory_usage
run_9_repetition_6,DONE,replace,Modin,Small,6.485,0.261,72.0,6667264356.174
run_4_repetition_11,DONE,isna,Pandas,Large,43.484,0.042,63.4,7555954329.958
run_20_repetition_4,DONE,groupby,Pandas,Large,2.168,1.232,77.8,6298907079.111
run_33_repetition_4,DONE,mean,Modin,Small,6.804,0.202,75.6,5449836544.0
run_13_repetition_1,DONE,replace,Pandas,Small,0.64,3.777,82.1,5110771712.0
run_35_repetition_14,DONE,mean,Dask,Small,1.25,2.009,79.6,5289710933.333
run_65_repetition_2,DONE,concat,Modin,Small,5.887,0.299,53.4,5927624313.905
run_22_repetition_11,DONE,groupby,Polars,Large,0.642,2.704,77.1,5670547456.0
run_22_repetition_18,DONE,groupby,Polars,Large,0.636,2.165,83.1,6505926656.0
run_58_repetition_14,DONE,fillna,Dask,Large,1.255,2.037,76.7,5987022165.333
run_43_repetition_6,DONE,drop,Dask,Small,1.257,4.135,76.0,6162290005.333
run_28_repetition_19,DONE,sort,Pandas,Large,73.694,0.026,78.6,8777256603.087
run_22_repetition_16,DONE,groupby,Polars,Large,0.634,12.083,74.6,5287374848.0
run_59_repetition_11,DONE,fillna,Dask,Small,1.237,5.917,71.1,4994337450.667
run_30_repetition_13,DONE,sort,Polars,Large,49.283,0.028,77.1,8731123004.049
run_3_repetition_15,DONE,isna,Dask,Small,1.534,2.488,68.1,5403939401.143
run_0_repetition_8,DONE,isna,Modin,Large,14.43,0.084,80.3,9145917607.184
run_0_repetition_7,DONE,isna,Modin,Large,25.185,0.056,72.8,8666017792.0
run_6_repetition_11,DONE,isna,Polars,Large,1.569,3.125,66.7,5038520027.429
run_11_repetition_11,DONE,replace,Dask,Small,1.243,5.74,82.4,4426020181.333
run_19_repetition_10,DONE,groupby,Dask,Small,1.243,5.829,73.6,4644495360.0
run_63_repetition_5,DONE,fillna,Polars,Small,0.329,10.518,72.4,4741726208.0
run_43_repetition_8,DONE,drop,Dask,Small,1.243,2.171,78.0,4939715925.333
run_56_repetition_10,DONE,fillna,Modin,Large,59.507,0.027,82.8,10278982384.327
run_1_repetition_15,DONE,isna,Modin,Small,6.461,0.192,75.6,6055493632.0
run_2_repetition_11,DONE,isna,Dask,Large,1.256,1.483,80.9,5847151957.333
run_4_repetition_3,DONE,isna,Pandas,Large,45.676,0.041,52.8,7529561456.64
run_58_repetition_6,DONE,fillna,Dask,Large,1.247,5.353,73.5,4554372437.333
run_34_repetition_0,DONE,mean,Dask,Large,1.557,4.111,70.1,4952784896.0
run_41_repetition_19,DONE,drop,Modin,Small,6.198,0.262,75.4,5632915269.818
run_51_repetition_15,DONE,dropna,Dask,Small,1.257,1.68,73.9,5321373013.333
run_61_repetition_9,DONE,fillna,Pandas,Small,0.946,2.204,73.4,5496353587.2
run_0_repetition_13,DONE,isna,Modin,Large,26.739,0.065,74.9,9768815489.438
run_35_repetition_12,DONE,mean,Dask,Small,1.875,0.688,55.2,5892661248.0
run_49_repetition_10,DONE,dropna,Modin,Small,6.155,0.229,66.9,6862453294.545
run_7_repetition_6,DONE,isna,Polars,Small,0.322,22.226,75.1,4313639594.667
run_21_repetition_13,DONE,groupby,Pandas,Small,0.634,12.036,70.1,4706369536.0
run_29_repetition_8,DONE,sort,Pandas,Small,0.64,10.297,72.5,5085298688.0
run_27_repetition_8,DONE,sort,Dask,Small,1.253,5.926,80.0,5277616810.667
run_67_repetition_19,DONE,concat,Dask,Small,1.544,4.45,75.5,5491961270.857
run_25_repetition_0,DONE,sort,Modin,Small,7.08,0.196,74.5,6225216798.72
run_12_repetition_14,DONE,replace,Pandas,Large,98.909,0.018,77.1,9587905488.446
run_13_repetition_19,DONE,replace,Pandas,Small,0.944,7.955,72.4,4903400243.2
run_53_repetition_13,DONE,dropna,Pandas,Small,0.639,6.775,76.5,3997728768.0
run_59_repetition_0,DONE,fillna,Dask,Small,1.247,2.587,70.9,4198268928.0
run_17_repetition_6,DONE,groupby,Modin,Small,6.483,0.25,79.1,4809356510.609
run_9_repetition_11,DONE,replace,Modin,Small,6.486,0.257,77.3,5240641090.783
run_45_repetition_5,DONE,drop,Pandas,Small,0.635,2.457,78.2,4846583808.0
run_30_repetition_7,DONE,sort,Polars,Large,48.329,0.028,77.4,8785919175.648
run_34_repetition_5,DONE,mean,Dask,Large,1.564,1.911,80.0,5373540059.429
run_62_repetition_9,DONE,fillna,Polars,Large,69.385,0.016,76.6,8732716294.796
run_4_repetition_4,DONE,isna,Pandas,Large,43.451,0.042,72.2,7318939605.035
run_8_repetition_18,DONE,replace,Modin,Large,68.739,0.025,63.6,9858002110.301
run_38_repetition_7,DONE,mean,Polars,Large,0.641,2.057,67.9,5352665088.0
run_39_repetition_0,DONE,mean,Polars,Small,0.332,5.12,78.4,5410258944.0
run_41_repetition_4,DONE,drop,Modin,Small,5.851,0.318,76.0,6083458779.429
run_66_repetition_8,DONE,concat,Dask,Large,1.547,1.45,75.1,5917399917.714
run_50_repetition_16,DONE,dropna,Dask,Large,1.253,1.402,74.5,6066369877.333
run_5_repetition_5,DONE,isna,Pandas,Small,0.939,5.489,54.8,4183048192.0
run_53_repetition_3,DONE,dropna,Pandas,Small,0.638,3.462,69.1,4385579008.0
run_10_repetition_8,DONE,replace,Dask,Large,1.248,1.288,71.2,4533821440.0
run_70_repetition_8,DONE,concat,Polars,Large,0.645,2.801,77.5,4684910592.0
run_10_repetition_18,DONE,replace,Dask,Large,1.256,1.611,78.2,5079979349.333
run_5_repetition_13,DONE,isna,Pandas,Small,0.64,2.889,65.8,5476888576.0
run_45_repetition_3,DONE,drop,Pandas,Small,0.629,3.696,77.5,5624758272.0
run_33_repetition_16,DONE,mean,Modin,Small,6.754,0.199,71.1,6313388714.667
run_51_repetition_9,DONE,dropna,Dask,Small,1.252,1.305,81.2,5993567573.333
run_18_repetition_5,DONE,groupby,Dask,Large,1.255,1.759,77.9,6136984917.333
run_43_repetition_19,DONE,drop,Dask,Small,1.246,4.014,58.6,6362281301.333
run_29_repetition_1,DONE,sort,Pandas,Small,0.94,2.536,72.8,6458284441.6
run_63_repetition_15,DONE,fillna,Polars,Small,0.329,4.318,72.4,4609725781.333
run_66_repetition_14,DONE,concat,Dask,Large,1.237,1.247,56.8,4796809216.0
run_51_repetition_1,DONE,dropna,Dask,Small,1.253,1.438,79.0,4965941248.0
run_22_repetition_7,DONE,groupby,Polars,Large,0.643,2.745,80.7,5081169920.0
run_51_repetition_12,DONE,dropna,Dask,Small,1.253,2.43,69.9,5300445184.0
run_38_repetition_2,DONE,mean,Polars,Large,0.64,6.261,80.2,5407784960.0
run_70_repetition_10,DONE,concat,Polars,Large,0.633,4.482,76.1,5561864192.0
run_41_repetition_0,DONE,drop,Modin,Small,5.864,0.303,80.3,6311415612.952
run_36_repetition_4,DONE,mean,Pandas,Large,2.174,0.992,83.7,7678867683.556
run_30_repetition_3,DONE,sort,Polars,Large,58.421,0.024,83.3,9164420864.0
run_47_repetition_13,DONE,drop,Polars,Small,0.332,15.306,71.1,3768560298.667
run_4_repetition_2,DONE,isna,Pandas,Large,43.246,0.043,70.4,7442328273.127
run_8_repetition_15,DONE,replace,Modin,Large,19.584,0.067,77.5,8382124900.848
run_55_repetition_16,DONE,dropna,Polars,Small,0.322,18.902,75.8,4779802624.0
run_11_repetition_18,DONE,replace,Dask,Small,1.23,3.451,79.4,5045802325.333
run_22_repetition_1,DONE,groupby,Polars,Large,0.632,2.719,80.9,5357084672.0
run_59_repetition_8,DONE,fillna,Dask,Small,1.246,1.033,76.0,5636592981.333
