__run_id,__done,DFO,Library,DataFrame size,execution_time,num_dfos_per_joule,cpu_utilisation,memory_usage
run_52_repetition_10,TODO,dropna,Pandas,Large, , , , 
run_70_repetition_17,TODO,concat,Polars,Large, , , , 
run_36_repetition_4,TODO,mean,Pandas,Large, , , , 
run_37_repetition_10,TODO,mean,Pandas,Small, , , , 
run_3_repetition_19,TODO,isna,Dask,Small, , , , 
run_53_repetition_4,TODO,dropna,Pandas,Small, , , , 
run_4_repetition_0,TODO,isna,Pandas,Large, , , , 
run_40_repetition_10,TODO,drop,Modin,Large, , , , 
run_65_repetition_16,TODO,concat,Modin,Small, , , , 
run_71_repetition_18,TODO,concat,Polars,Small, , , , 
run_35_repetition_16,TODO,mean,Dask,Small, , , , 
run_39_repetition_10,TODO,mean,Polars,Small, , , , 
run_25_repetition_2,TODO,sort,Modin,Small, , , , 
run_51_repetition_18,TODO,dropna,Dask,Small, , , , 
run_66_repetition_11,TODO,concat,Dask,Large, , , , 
run_14_repetition_16,TODO,replace,Polars,Large, , , , 
run_28_repetition_11,TODO,sort,Pandas,Large, , , , 
run_42_repetition_0,TODO,drop,Dask,Large, , , , 
run_8_repetition_2,TODO,replace,Modin,Large, , , , 
run_45_repetition_2,TODO,drop,Pandas,Small, , , , 
run_24_repetition_11,TODO,sort,Modin,Large, , , , 
run_22_repetition_8,TODO,groupby,Polars,Large, , , , 
run_46_repetition_6,TODO,drop,Polars,Large, , , , 
run_20_repetition_9,TODO,groupby,Pandas,Large, , , , 
run_20_repetition_0,TODO,groupby,Pandas,Large, , , , 
run_69_repetition_4,TODO,concat,Pandas,Small, , , , 
run_14_repetition_2,TODO,replace,Polars,Large, , , , 
run_17_repetition_12,TODO,groupby,Modin,Small, , , , 
run_66_repetition_1,TODO,concat,Dask,Large, , , , 
run_42_repetition_12,TODO,drop,Dask,Large, , , , 
run_35_repetition_18,TODO,mean,Dask,Small, , , , 
run_35_repetition_4,TODO,mean,Dask,Small, , , , 
run_13_repetition_17,TODO,replace,Pandas,Small, , , , 
run_31_repetition_14,TODO,sort,Polars,Small, , , , 
run_45_repetition_3,TODO,drop,Pandas,Small, , , , 
run_7_repetition_10,TODO,isna,Polars,Small, , , , 
run_51_repetition_3,TODO,dropna,Dask,Small, , , , 
run_21_repetition_11,TODO,groupby,Pandas,Small, , , , 
run_21_repetition_8,TODO,groupby,Pandas,Small, , , , 
run_55_repetition_6,TODO,dropna,Polars,Small, , , , 
run_27_repetition_19,TODO,sort,Dask,Small, , , , 
run_64_repetition_17,TODO,concat,Modin,Large, , , , 
run_8_repetition_13,TODO,replace,Modin,Large, , , , 
run_57_repetition_4,TODO,fillna,Modin,Small, , , , 
run_9_repetition_11,TODO,replace,Modin,Small, , , , 
run_65_repetition_6,TODO,concat,Modin,Small, , , , 
run_41_repetition_3,TODO,drop,Modin,Small, , , , 
run_34_repetition_8,TODO,mean,Dask,Large, , , , 
run_66_repetition_6,TODO,concat,Dask,Large, , , , 
run_27_repetition_16,TODO,sort,Dask,Small, , , , 
run_55_repetition_9,TODO,dropna,Polars,Small, , , , 
run_39_repetition_12,TODO,mean,Polars,Small, , , , 
run_68_repetition_2,TODO,concat,Pandas,Large, , , , 
run_8_repetition_9,TODO,replace,Modin,Large, , , , 
run_15_repetition_10,TODO,replace,Polars,Small, , , , 
run_41_repetition_7,TODO,drop,Modin,Small, , , , 
run_19_repetition_15,TODO,groupby,Dask,Small, , , , 
run_71_repetition_5,TODO,concat,Polars,Small, , , , 
run_30_repetition_16,TODO,sort,Polars,Large, , , , 
run_61_repetition_9,TODO,fillna,Pandas,Small, , , , 
run_71_repetition_19,TODO,concat,Polars,Small, , , , 
run_12_repetition_9,TODO,replace,Pandas,Large, , , , 
run_27_repetition_12,TODO,sort,Dask,Small, , , , 
run_53_repetition_11,TODO,dropna,Pandas,Small, , , , 
run_69_repetition_6,TODO,concat,Pandas,Small, , , , 
run_35_repetition_13,TODO,mean,Dask,Small, , , , 
run_59_repetition_18,TODO,fillna,Dask,Small, , , , 
run_56_repetition_13,TODO,fillna,Modin,Large, , , , 
run_48_repetition_15,TODO,dropna,Modin,Large, , , , 
run_19_repetition_7,TODO,groupby,Dask,Small, , , , 
run_20_repetition_1,TODO,groupby,Pandas,Large, , , , 
run_52_repetition_16,TODO,dropna,Pandas,Large, , , , 
run_48_repetition_17,TODO,dropna,Modin,Large, , , , 
run_64_repetition_14,TODO,concat,Modin,Large, , , , 
run_43_repetition_16,TODO,drop,Dask,Small, , , , 
run_49_repetition_8,TODO,dropna,Modin,Small, , , , 
run_56_repetition_6,TODO,fillna,Modin,Large, , , , 
run_61_repetition_18,TODO,fillna,Pandas,Small, , , , 
run_15_repetition_9,TODO,replace,Polars,Small, , , , 
run_49_repetition_11,TODO,dropna,Modin,Small, , , , 
run_61_repetition_3,TODO,fillna,Pandas,Small, , , , 
run_40_repetition_15,TODO,drop,Modin,Large, , , , 
run_61_repetition_16,TODO,fillna,Pandas,Small, , , , 
run_28_repetition_5,TODO,sort,Pandas,Large, , , , 
run_1_repetition_5,TODO,isna,Modin,Small, , , , 
run_49_repetition_5,TODO,dropna,Modin,Small, , , , 
run_26_repetition_8,TODO,sort,Dask,Large, , , , 
run_66_repetition_16,TODO,concat,Dask,Large, , , , 
run_66_repetition_3,TODO,concat,Dask,Large, , , , 
run_7_repetition_13,TODO,isna,Polars,Small, , , , 
run_36_repetition_11,TODO,mean,Pandas,Large, , , , 
run_3_repetition_8,TODO,isna,Dask,Small, , , , 
run_55_repetition_13,TODO,dropna,Polars,Small, , , , 
run_50_repetition_15,TODO,dropna,Dask,Large, , , , 
run_1_repetition_3,TODO,isna,Modin,Small, , , , 
run_23_repetition_9,TODO,groupby,Polars,Small, , , , 
run_37_repetition_15,TODO,mean,Pandas,Small, , , , 
run_53_repetition_5,TODO,dropna,Pandas,Small, , , , 
run_55_repetition_16,TODO,dropna,Polars,Small, , , , 
run_23_repetition_8,TODO,groupby,Polars,Small, , , , 
run_21_repetition_5,TODO,groupby,Pandas,Small, , , , 
run_2_repetition_19,TODO,isna,Dask,Large, , , , 
run_68_repetition_3,TODO,concat,Pandas,Large, , , , 
run_25_repetition_0,TODO,sort,Modin,Small, , , , 
run_24_repetition_7,TODO,sort,Modin,Large, , , , 
run_2_repetition_17,TODO,isna,Dask,Large, , , , 
run_9_repetition_10,TODO,replace,Modin,Small, , , , 
run_6_repetition_6,TODO,isna,Polars,Large, , , , 
run_20_repetition_3,TODO,groupby,Pandas,Large, , , , 
run_55_repetition_15,TODO,dropna,Polars,Small, , , , 
run_38_repetition_18,TODO,mean,Polars,Large, , , , 
run_19_repetition_3,TODO,groupby,Dask,Small, , , , 
run_10_repetition_13,TODO,replace,Dask,Large, , , , 
run_16_repetition_17,TODO,groupby,Modin,Large, , , , 
run_69_repetition_0,TODO,concat,Pandas,Small, , , , 
run_28_repetition_10,TODO,sort,Pandas,Large, , , , 
run_45_repetition_6,TODO,drop,Pandas,Small, , , , 
run_44_repetition_18,TODO,drop,Pandas,Large, , , , 
run_63_repetition_14,TODO,fillna,Polars,Small, , , , 
run_28_repetition_14,TODO,sort,Pandas,Large, , , , 
run_27_repetition_13,TODO,sort,Dask,Small, , , , 
run_2_repetition_5,TODO,isna,Dask,Large, , , , 
run_63_repetition_16,TODO,fillna,Polars,Small, , , , 
run_48_repetition_9,TODO,dropna,Modin,Large, , , , 
run_16_repetition_0,TODO,groupby,Modin,Large, , , , 
run_41_repetition_8,TODO,drop,Modin,Small, , , , 
run_38_repetition_7,TODO,mean,Polars,Large, , , , 
run_33_repetition_2,TODO,mean,Modin,Small, , , , 
run_6_repetition_5,TODO,isna,Polars,Large, , , , 
run_40_repetition_14,TODO,drop,Modin,Large, , , , 
run_39_repetition_3,TODO,mean,Polars,Small, , , , 
run_12_repetition_10,TODO,replace,Pandas,Large, , , , 
run_39_repetition_6,TODO,mean,Polars,Small, , , , 
run_48_repetition_12,TODO,dropna,Modin,Large, , , , 
run_58_repetition_9,TODO,fillna,Dask,Large, , , , 
run_30_repetition_10,TODO,sort,Polars,Large, , , , 
run_60_repetition_6,TODO,fillna,Pandas,Large, , , , 
run_71_repetition_8,TODO,concat,Polars,Small, , , , 
run_70_repetition_8,TODO,concat,Polars,Large, , , , 
run_32_repetition_9,TODO,mean,Modin,Large, , , , 
run_19_repetition_11,TODO,groupby,Dask,Small, , , , 
run_32_repetition_19,TODO,mean,Modin,Large, , , , 
run_23_repetition_10,TODO,groupby,Polars,Small, , , , 
run_18_repetition_1,TODO,groupby,Dask,Large, , , , 
run_30_repetition_13,TODO,sort,Polars,Large, , , , 
run_31_repetition_18,TODO,sort,Polars,Small, , , , 
run_5_repetition_14,TODO,isna,Pandas,Small, , , , 
run_31_repetition_3,TODO,sort,Polars,Small, , , , 
run_2_repetition_12,TODO,isna,Dask,Large, , , , 
run_31_repetition_5,TODO,sort,Polars,Small, , , , 
run_30_repetition_9,TODO,sort,Polars,Large, , , , 
run_47_repetition_18,TODO,drop,Polars,Small, , , , 
run_20_repetition_17,TODO,groupby,Pandas,Large, , , , 
run_65_repetition_11,TODO,concat,Modin,Small, , , , 
run_22_repetition_13,TODO,groupby,Polars,Large, , , , 
run_25_repetition_10,TODO,sort,Modin,Small, , , , 
run_24_repetition_13,TODO,sort,Modin,Large, , , , 
run_50_repetition_6,TODO,dropna,Dask,Large, , , , 
run_59_repetition_8,TODO,fillna,Dask,Small, , , , 
run_69_repetition_8,TODO,concat,Pandas,Small, , , , 
run_56_repetition_9,TODO,fillna,Modin,Large, , , , 
run_47_repetition_16,TODO,drop,Polars,Small, , , , 
run_67_repetition_5,TODO,concat,Dask,Small, , , , 
run_11_repetition_2,TODO,replace,Dask,Small, , , , 
run_27_repetition_10,TODO,sort,Dask,Small, , , , 
run_0_repetition_19,TODO,isna,Modin,Large, , , , 
run_43_repetition_7,TODO,drop,Dask,Small, , , , 
run_26_repetition_13,TODO,sort,Dask,Large, , , , 
run_26_repetition_14,TODO,sort,Dask,Large, , , , 
run_53_repetition_14,TODO,dropna,Pandas,Small, , , , 
run_56_repetition_19,TODO,fillna,Modin,Large, , , , 
run_47_repetition_13,TODO,drop,Polars,Small, , , , 
run_32_repetition_18,TODO,mean,Modin,Large, , , , 
run_55_repetition_2,TODO,dropna,Polars,Small, , , , 
run_25_repetition_14,TODO,sort,Modin,Small, , , , 
run_65_repetition_5,TODO,concat,Modin,Small, , , , 
run_52_repetition_1,TODO,dropna,Pandas,Large, , , , 
run_26_repetition_12,TODO,sort,Dask,Large, , , , 
run_50_repetition_13,TODO,dropna,Dask,Large, , , , 
run_34_repetition_0,TODO,mean,Dask,Large, , , , 
run_63_repetition_9,TODO,fillna,Polars,Small, , , , 
run_25_repetition_5,TODO,sort,Modin,Small, , , , 
run_31_repetition_15,TODO,sort,Polars,Small, , , , 
run_38_repetition_4,TODO,mean,Polars,Large, , , , 
run_70_repetition_15,TODO,concat,Polars,Large, , , , 
run_29_repetition_18,TODO,sort,Pandas,Small, , , , 
run_30_repetition_19,TODO,sort,Polars,Large, , , , 
run_49_repetition_4,TODO,dropna,Modin,Small, , , , 
run_59_repetition_19,TODO,fillna,Dask,Small, , , , 
run_33_repetition_10,TODO,mean,Modin,Small, , , , 
run_12_repetition_17,TODO,replace,Pandas,Large, , , , 
run_45_repetition_17,TODO,drop,Pandas,Small, , , , 
run_11_repetition_5,TODO,replace,Dask,Small, , , , 
run_43_repetition_12,TODO,drop,Dask,Small, , , , 
run_64_repetition_8,TODO,concat,Modin,Large, , , , 
run_50_repetition_12,TODO,dropna,Dask,Large, , , , 
run_0_repetition_9,TODO,isna,Modin,Large, , , , 
run_6_repetition_10,TODO,isna,Polars,Large, , , , 
run_58_repetition_8,TODO,fillna,Dask,Large, , , , 
run_50_repetition_5,TODO,dropna,Dask,Large, , , , 
run_37_repetition_12,TODO,mean,Pandas,Small, , , , 
run_23_repetition_5,TODO,groupby,Polars,Small, , , , 
run_15_repetition_3,TODO,replace,Polars,Small, , , , 
run_44_repetition_9,TODO,drop,Pandas,Large, , , , 
run_49_repetition_19,TODO,dropna,Modin,Small, , , , 
run_56_repetition_10,TODO,fillna,Modin,Large, , , , 
run_34_repetition_7,TODO,mean,Dask,Large, , , , 
run_9_repetition_15,TODO,replace,Modin,Small, , , , 
run_66_repetition_13,TODO,concat,Dask,Large, , , , 
run_33_repetition_14,TODO,mean,Modin,Small, , , , 
run_69_repetition_2,TODO,concat,Pandas,Small, , , , 
run_57_repetition_13,TODO,fillna,Modin,Small, , , , 
run_48_repetition_1,TODO,dropna,Modin,Large, , , , 
run_69_repetition_18,TODO,concat,Pandas,Small, , , , 
run_68_repetition_14,TODO,concat,Pandas,Large, , , , 
run_54_repetition_13,TODO,dropna,Polars,Large, , , , 
run_14_repetition_4,TODO,replace,Polars,Large, , , , 
run_43_repetition_11,TODO,drop,Dask,Small, , , , 
run_25_repetition_1,TODO,sort,Modin,Small, , , , 
run_10_repetition_11,TODO,replace,Dask,Large, , , , 
run_19_repetition_5,TODO,groupby,Dask,Small, , , , 
run_50_repetition_8,TODO,dropna,Dask,Large, , , , 
run_47_repetition_19,TODO,drop,Polars,Small, , , , 
run_35_repetition_9,TODO,mean,Dask,Small, , , , 
run_19_repetition_16,TODO,groupby,Dask,Small, , , , 
run_67_repetition_9,TODO,concat,Dask,Small, , , , 
run_43_repetition_9,TODO,drop,Dask,Small, , , , 
run_55_repetition_18,TODO,dropna,Polars,Small, , , , 
run_62_repetition_2,TODO,fillna,Polars,Large, , , , 
run_47_repetition_9,TODO,drop,Polars,Small, , , , 
run_51_repetition_16,TODO,dropna,Dask,Small, , , , 
run_53_repetition_10,TODO,dropna,Pandas,Small, , , , 
run_15_repetition_4,TODO,replace,Polars,Small, , , , 
run_17_repetition_18,TODO,groupby,Modin,Small, , , , 
run_28_repetition_6,TODO,sort,Pandas,Large, , , , 
run_35_repetition_7,TODO,mean,Dask,Small, , , , 
run_38_repetition_6,TODO,mean,Polars,Large, , , , 
run_13_repetition_15,TODO,replace,Pandas,Small, , , , 
run_37_repetition_11,TODO,mean,Pandas,Small, , , , 
run_7_repetition_15,TODO,isna,Polars,Small, , , , 
run_65_repetition_0,TODO,concat,Modin,Small, , , , 
run_48_repetition_8,TODO,dropna,Modin,Large, , , , 
run_10_repetition_18,TODO,replace,Dask,Large, , , , 
run_62_repetition_18,TODO,fillna,Polars,Large, , , , 
run_47_repetition_17,TODO,drop,Polars,Small, , , , 
run_49_repetition_15,TODO,dropna,Modin,Small, , , , 
run_52_repetition_9,TODO,dropna,Pandas,Large, , , , 
run_58_repetition_3,TODO,fillna,Dask,Large, , , , 
run_1_repetition_6,TODO,isna,Modin,Small, , , , 
run_30_repetition_2,TODO,sort,Polars,Large, , , , 
run_67_repetition_17,TODO,concat,Dask,Small, , , , 
run_63_repetition_8,TODO,fillna,Polars,Small, , , , 
run_7_repetition_18,TODO,isna,Polars,Small, , , , 
run_16_repetition_18,TODO,groupby,Modin,Large, , , , 
run_31_repetition_10,TODO,sort,Polars,Small, , , , 
run_5_repetition_12,TODO,isna,Pandas,Small, , , , 
run_19_repetition_19,TODO,groupby,Dask,Small, , , , 
run_48_repetition_3,TODO,dropna,Modin,Large, , , , 
run_15_repetition_18,TODO,replace,Polars,Small, , , , 
run_61_repetition_6,TODO,fillna,Pandas,Small, , , , 
run_57_repetition_3,TODO,fillna,Modin,Small, , , , 
run_19_repetition_13,TODO,groupby,Dask,Small, , , , 
run_59_repetition_0,TODO,fillna,Dask,Small, , , , 
run_16_repetition_8,TODO,groupby,Modin,Large, , , , 
run_46_repetition_9,TODO,drop,Polars,Large, , , , 
run_8_repetition_14,TODO,replace,Modin,Large, , , , 
run_64_repetition_9,TODO,concat,Modin,Large, , , , 
run_63_repetition_17,TODO,fillna,Polars,Small, , , , 
run_16_repetition_14,TODO,groupby,Modin,Large, , , , 
run_42_repetition_9,TODO,drop,Dask,Large, , , , 
run_1_repetition_8,TODO,isna,Modin,Small, , , , 
run_29_repetition_6,TODO,sort,Pandas,Small, , , , 
run_64_repetition_11,TODO,concat,Modin,Large, , , , 
run_52_repetition_12,TODO,dropna,Pandas,Large, , , , 
run_33_repetition_5,TODO,mean,Modin,Small, , , , 
run_63_repetition_6,TODO,fillna,Polars,Small, , , , 
run_60_repetition_14,TODO,fillna,Pandas,Large, , , , 
run_24_repetition_4,TODO,sort,Modin,Large, , , , 
run_13_repetition_5,TODO,replace,Pandas,Small, , , , 
run_34_repetition_14,TODO,mean,Dask,Large, , , , 
run_29_repetition_2,TODO,sort,Pandas,Small, , , , 
run_27_repetition_18,TODO,sort,Dask,Small, , , , 
run_2_repetition_8,TODO,isna,Dask,Large, , , , 
run_67_repetition_12,TODO,concat,Dask,Small, , , , 
run_67_repetition_10,TODO,concat,Dask,Small, , , , 
run_40_repetition_12,TODO,drop,Modin,Large, , , , 
run_17_repetition_0,TODO,groupby,Modin,Small, , , , 
run_25_repetition_12,TODO,sort,Modin,Small, , , , 
run_0_repetition_17,TODO,isna,Modin,Large, , , , 
run_62_repetition_6,TODO,fillna,Polars,Large, , , , 
run_67_repetition_7,TODO,concat,Dask,Small, , , , 
